ID,Level 1 (TOP TERMS),Level 2 (BROADER TERM),SYNONYMS,DESCRIPTION,Sport England TT,SportSuite TT,EMD TT,SE BT,SS TT,EMD TT,SE Recognised TT?,SE Recognised BT?
4a19873e-118e-43f4-b86e-05acba8fb1de,Cycling,,,"Cycling is a great sport, loved by millions around the world.",Level 1,Level 1,No,,,,Yes,
d30c3317-7562-4be6-8e31-b82434fd6690,Cycling,Bmx Racing,"Bicycle Motocross, BMX",BMX racing is a type of off-road bicycle racing.,Level 1,Level 1,No,No,Level 2,No,Yes,No
caf9d732-a551-48c3-8cda-ce6c9c27b906,Cycling,Commuter Cycling,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
36353bac-315d-4b88-bcf3-3696c6f3b164,Cycling,Cyclo-Cross,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
2a41c553-84be-4970-b3d0-42f9ef6bd9a4,Cycling,Road Cycling,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
2d8eba85-af3d-4d8a-b92f-030d15b4885c,Cycling,Handcycling,,Handcycling involves cycling using the arms opposed to the legs.,Level 1,Level 1,No,No,Level 2,No,Yes,No
7a0af13b-23da-4ff1-9862-3734f3f55289,Cycling,Racing,,,Level 1,Level 1,No,Level 2,No,No,Yes,Yes
3428ded3-04ea-405d-88da-3bf2933ef66a,Cycling,Track Cycling,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
6ca15167-51da-4d91-a1ae-8a45dc47b0ea,Dance,,,"Dance is an art form that generally refers to movement of the body, usually rhythmic and to music, used as a form of expression, social interaction or presented in a spiritual or performance setting.",Level 1,Level 1,Level 1,,,,Yes,
560624c2-d64c-462a-acc3-0e6d551069e7,Dance,African Dance,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
51e011a6-7e06-45c5-8ad9-ceaccc9ad1e4,Dance,American Smooth,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
aaffbbb4-1af5-4111-8677-2a2b464bbf48,Dance,Argentine Tango,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
ed8ad685-cd60-41d1-acd9-68a11f0f3c7b,Dance,Azonto,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
1ae7395a-27a7-4e33-9f6d-a1a6c17d0757,Dance,Ballet,,"Ballet is a classical dance form characterized by grace and precision of movement and by elaborate formal gestures, steps, and poses.",Level 1,Level 1,Level 1,No,Level 2,Level 2,Yes,No
40c3a315-1401-4c31-a5c1-994c59a98469,Dance,Ballroom And Latin,,Ballroom dancing is a couples dance where couples move to the music using step-patterns and rhythms that match the character of a given song.,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
24c7442b-19de-4cc5-90bf-91e943ebe81c,Dance,Belly Dance,,"Belly dancing is originally a solo, improvised dance involving torso articulation.",Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
a9c4bd7d-a31c-4dee-bfe6-ca823b2e5bff,Dance,Bhangra,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
0969ddf0-16fa-4ea1-a4f8-d2aeefb46900,Dance,Bollywood,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
584c51fa-2485-4c01-b9c1-791a9c4d7c06,Dance,Bollywood Bhangra,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
6e5bbb26-4aa1-4ab7-947b-fa58687ab374,Dance,Break Dance,Breakdance,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
6b0bb823-e720-4934-9a28-150523eefd54,Dance,Burlesque,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
89270ae0-9e0e-47af-97fa-8975d706701d,Dance,Burlesque Chair Dance,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
8662c76c-b73e-4429-af33-90a122064cf6,Dance,Capoeira,,"Capoeira is a Brazilian martial art that combines elements of dance, acrobatics and music.",Level 1,Level 1,Level 1,No,Level 2,Level 2,Yes,No
7ad8b8bf-ccc1-4346-8445-c930ff50272f,Dance,Carnival,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
bfb734f6-52a6-4751-940b-fd1ddced39ab,Dance,Ceroc,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
1f688be3-434c-4d91-9f5a-6ce45824f018,Dance,Cha-Cha-Cha,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
18ccf049-3c7d-46a5-b2ea-c6ce5a6e520f,Dance,Charleston,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
f173033c-12c5-44d2-99e6-7ace970892b8,Dance,Clubbercise,,"Clubbercise are choreographed dance fitness classes delivered in darkened rooms with disco lights and lasers, to 90's club anthems.",Level 1,Level 1,Level 1,No,Level 2,Level 2,Yes,No
8f39e848-ec7d-4472-b10e-d929060a0467,Dance,Commercial,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
19254731-5f47-4ec4-a137-6993a1af9c33,Dance,Contemporary,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
1375887d-41f3-442d-a9b0-847512d060a1,Dance,Country And Western,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
60021392-7242-413d-b842-cc79298d7268,Dance,Cultural Dances,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
bc18a355-c6af-4801-b673-053af9aa0422,Dance,Dancehall,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
b1a6bc86-c7b7-4d94-aaaa-28b22678ca21,Dance,Dance Sport,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
7cc3c73b-0756-4646-afbc-20f34f15f9ae,Dance,Diddi Dance,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
f12daba1-d1e4-49a5-831c-89d83c0cb1f4,Dance,Disco,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
07ba80dd-a7b6-4d4d-96e6-48aef4643a9a,Dance,Flamenco,,"Flamenco dance is a Spanish dance form characterised by hand clapping, percussive footwork, and intricate hand, arm and body movements.",Level 1,Level 1,Level 1,No,Level 2,Level 2,Yes,No
34cabe03-72b3-4539-ac52-e69a52393330,Dance,Folk Dance,Folk dancing,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,Yes
4547052c-b656-4710-b6fc-9ecf9831ff0f,Dance,Foxtrot,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
e00f8c2f-092b-4dd3-ac1e-573c2c04d3db,Dance,Freestyle,,,Level 1,Level 1,Level 1,No,Level 2,Level 2,Yes,Yes
2679770b-f86d-40b5-82a9-59fb6b764d1f,Dance,Funk Styles,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
84272f30-a109-47bd-970b-e56dcb90c439,Dance,Generic,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
19f95881-d3e2-4d65-87aa-8362bebdb024,Dance,Hip Hop,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
52c0e52d-ac08-45f4-9327-18b6863a961c,Dance,Horton Technique,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
3a1c30fc-c02a-4632-b6bc-aaedb73e1582,Dance,House,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
0b254ccb-26bb-457c-ae68-ad6cb40b17ea,Dance,Irish Dancing,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
d3bdf357-14dc-4da1-af67-9c057eb2bd7a,Dance,Jazz,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
2aee03d2-800a-4c49-bf41-7a8d5dc0a1f4,Dance,Jive,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
bfab0fb7-85c3-4440-9e34-d4045b832aad,Dance,Jumpstyle,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
4440651f-a659-45ac-a28e-d68d3bae438f,Dance,Kathak,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
d1868552-5254-4b14-9204-d8bf24e4e403,Dance,Krump,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
516c71ac-829e-40cf-82f9-fafa8f30f856,Dance,Latin,,"Latin dancing consists of five dances: the Rumba, Cha Cha, Samba, Paso Doble' and the Jive.",Level 1,Level 1,Level 1,No,No,Level 2,Yes,Yes
2998a4ad-e206-4cf8-9f9d-8a36faa0bc88,Dance,Line Dancing,,,Level 1,Level 1,Level 1,Level 2,Level 2,Level 2,Yes,No
be59cf38-0a17-4dbf-9127-0445244b36fe,Dance,Locking,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
75bab9e3-a229-4125-a62f-552a4304b357,Dance,Lyrical,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
8a8354d9-8055-4830-ac4c-0997ca86dd51,Dance,Majorettes,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
b1b89ce8-9330-4bbb-b11d-104fc20014f9,Dance,Mambo,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
af66a0a0-4d1f-41a0-b6f3-4913cfb305c1,Dance,Merengue,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
7c23c208-a4da-42c5-a382-5bea008acd75,Dance,Morris Dancing,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
b3829f3e-a63e-455f-a51c-1f50ecf85ad5,Dance,Pachanga,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
feb1256b-104d-451e-bbbd-63a1f2ad69c0,Dance,Paso Doble,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
64506a93-7c5c-4c82-81fa-301b69644fb6,Dance,Pole Dancing,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
154d3567-7203-4977-b946-d3708a268590,Dance,Popping,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
b27dd072-924f-4394-b539-82b7837a1a56,Dance,Quickstep,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
